epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.968,0.97444,1.79063,1.23741,0.92775,0.8688,0.93732,0.74386,0.52805,0.75441,0.69533,0.00332931,0.00332931,0.00332931
2,358.738,1.07717,1.12821,1.27517,0.82549,0.81779,0.88144,0.64604,0.65967,1.6332,0.7741,0.00661867,0.00661867,0.00661867
3,531.018,1.25305,1.39495,1.38547,0.71037,0.63391,0.70325,0.4537,0.90334,5.87275,0.95018,0.00986403,0.00986403,0.00986403
4,702.963,1.41272,1.57159,1.49317,0.69852,0.71746,0.7378,0.50535,0.74592,12.3162,0.87264,0.009802,0.009802,0.009802
5,873.706,1.30656,1.4169,1.42117,0.88951,0.76002,0.85547,0.59939,0.73487,4.20895,0.80807,0.009736,0.009736,0.009736
6,1047.05,1.21605,1.27466,1.36301,0.90032,0.84049,0.91629,0.68191,0.64767,1.91914,0.76947,0.00967,0.00967,0.00967
7,1217.05,1.16569,1.1873,1.33702,0.91643,0.87829,0.93264,0.72328,0.59597,1.62219,0.73503,0.009604,0.009604,0.009604
8,1386.14,1.12223,1.13692,1.31006,0.9381,0.83716,0.93079,0.70546,0.60885,1.08494,0.75232,0.009538,0.009538,0.009538
9,1557.94,1.07849,1.07435,1.27883,0.92895,0.85988,0.93797,0.73467,0.58148,0.98457,0.72323,0.009472,0.009472,0.009472
10,1728.26,1.05674,1.02685,1.2682,0.95327,0.88108,0.9459,0.73441,0.57181,0.79905,0.73452,0.009406,0.009406,0.009406
11,1899.05,1.03728,0.99663,1.2604,0.94832,0.90152,0.95581,0.75948,0.54699,1.00415,0.70832,0.00934,0.00934,0.00934
12,2067.98,0.99616,0.96184,1.23711,0.94055,0.90664,0.95382,0.77093,0.51975,0.76602,0.69031,0.009274,0.009274,0.009274
13,2238.65,0.98045,0.94627,1.22672,0.95095,0.88916,0.95341,0.76564,0.53961,0.9283,0.70052,0.009208,0.009208,0.009208
14,2409.91,0.97078,0.92694,1.22141,0.93593,0.9028,0.94743,0.76526,0.52624,1.26047,0.70407,0.009142,0.009142,0.009142
15,2580.85,0.95205,0.8958,1.20976,0.94896,0.92262,0.96512,0.78707,0.49933,0.56829,0.68442,0.009076,0.009076,0.009076
16,2753.75,0.94569,0.90371,1.20449,0.96494,0.92238,0.96379,0.79035,0.5001,1.02311,0.68814,0.00901,0.00901,0.00901
17,2926.05,0.93095,0.8664,1.19698,0.95251,0.92464,0.96282,0.79428,0.49664,0.60521,0.68452,0.008944,0.008944,0.008944
18,3097.26,0.92002,0.8512,1.18819,0.9427,0.92983,0.96363,0.79059,0.4997,0.6033,0.68097,0.008878,0.008878,0.008878
19,3267.45,0.90807,0.83913,1.17953,0.94071,0.93928,0.96631,0.79099,0.4959,0.70777,0.68856,0.008812,0.008812,0.008812
20,3436.21,0.91242,0.83519,1.18216,0.95563,0.92167,0.96121,0.80299,0.47122,0.49978,0.67238,0.008746,0.008746,0.008746
21,3609.33,0.89182,0.82098,1.17171,0.94762,0.92476,0.96471,0.80864,0.47404,0.66952,0.66939,0.00868,0.00868,0.00868
22,3781.44,0.89113,0.81178,1.16727,0.9709,0.9152,0.96548,0.81366,0.46018,0.59898,0.6643,0.008614,0.008614,0.008614
23,3951.7,0.88442,0.79875,1.16498,0.95667,0.92505,0.96471,0.804,0.48118,0.57892,0.67241,0.008548,0.008548,0.008548
24,4123.38,0.86855,0.78176,1.15919,0.95528,0.93864,0.96741,0.82202,0.46786,0.78804,0.6685,0.008482,0.008482,0.008482
25,4293.51,0.8805,0.78903,1.16462,0.96376,0.93635,0.96662,0.81435,0.46073,0.64042,0.66046,0.008416,0.008416,0.008416
26,4463.13,0.85908,0.77274,1.15525,0.97183,0.94114,0.96947,0.82489,0.44933,0.5497,0.65515,0.00835,0.00835,0.00835
27,4633.56,0.85321,0.7528,1.15157,0.96354,0.92721,0.96911,0.83283,0.44083,0.49674,0.6489,0.008284,0.008284,0.008284
28,4805.84,0.84407,0.74142,1.13998,0.96074,0.93746,0.96868,0.82585,0.44599,0.8891,0.65054,0.008218,0.008218,0.008218
29,4978.55,0.83158,0.73729,1.128,0.95478,0.9401,0.96798,0.83148,0.44167,0.66916,0.64951,0.008152,0.008152,0.008152
30,5148.79,0.83022,0.73773,1.13079,0.96836,0.94565,0.97138,0.83295,0.4328,0.32428,0.64589,0.008086,0.008086,0.008086
31,5319.55,0.82437,0.71022,1.13309,0.95819,0.93991,0.97027,0.834,0.44501,0.62724,0.64868,0.00802,0.00802,0.00802
32,5489.42,0.82106,0.71166,1.12555,0.95901,0.9409,0.97039,0.83602,0.43139,0.75808,0.64041,0.007954,0.007954,0.007954
33,5661.2,0.82273,0.71518,1.13093,0.96365,0.93944,0.9717,0.84069,0.42007,0.35358,0.63529,0.007888,0.007888,0.007888
34,5831.05,0.80967,0.70508,1.12446,0.96093,0.94873,0.97076,0.84042,0.4172,0.48209,0.63431,0.007822,0.007822,0.007822
35,6004.37,0.81061,0.70608,1.12202,0.9638,0.94772,0.97197,0.8466,0.42529,0.43469,0.63635,0.007756,0.007756,0.007756
36,6175.05,0.81384,0.70444,1.1264,0.96268,0.94671,0.97038,0.84363,0.41928,0.65711,0.63849,0.00769,0.00769,0.00769
37,6346.48,0.79642,0.68619,1.11129,0.97558,0.93009,0.97105,0.84124,0.42561,0.42774,0.63776,0.007624,0.007624,0.007624
38,6519.76,0.79816,0.69277,1.11417,0.9564,0.95223,0.97304,0.85464,0.41145,0.48616,0.63676,0.007558,0.007558,0.007558
39,6687.85,0.79028,0.67427,1.10599,0.96413,0.9494,0.97347,0.84986,0.4191,0.61324,0.63427,0.007492,0.007492,0.007492
40,6857.35,0.79393,0.67916,1.11299,0.96916,0.94692,0.97263,0.8479,0.41816,0.43397,0.63459,0.007426,0.007426,0.007426
41,7027.92,0.79277,0.67717,1.1088,0.96612,0.94513,0.97312,0.85217,0.4095,0.5763,0.62677,0.00736,0.00736,0.00736
42,7197.47,0.78626,0.66378,1.10795,0.95899,0.95426,0.97331,0.85739,0.40373,0.41875,0.62472,0.007294,0.007294,0.007294
43,7367.76,0.77338,0.65147,1.0953,0.96744,0.94838,0.97184,0.85313,0.40355,0.39719,0.62703,0.007228,0.007228,0.007228
44,7538.88,0.77727,0.65252,1.09973,0.95507,0.9526,0.97194,0.85381,0.40525,0.59448,0.62737,0.007162,0.007162,0.007162
45,7710.21,0.767,0.65943,1.09365,0.96984,0.93921,0.97282,0.85601,0.40988,0.47116,0.62882,0.007096,0.007096,0.007096
46,7880.84,0.77703,0.65147,1.10097,0.96592,0.94733,0.97111,0.85623,0.39876,0.45128,0.62498,0.00703,0.00703,0.00703
47,8050.02,0.75135,0.63155,1.0898,0.97375,0.9492,0.97296,0.85723,0.39719,0.35636,0.623,0.006964,0.006964,0.006964
48,8221,0.7662,0.64464,1.09229,0.96519,0.9602,0.97428,0.8566,0.39285,0.33361,0.61923,0.006898,0.006898,0.006898
49,8389.93,0.76428,0.64325,1.09919,0.95911,0.96027,0.97321,0.85565,0.39413,0.41734,0.62111,0.006832,0.006832,0.006832
50,8562.01,0.75508,0.63603,1.09096,0.96054,0.9558,0.97325,0.86035,0.39288,0.47148,0.62035,0.006766,0.006766,0.006766
51,8732.2,0.73863,0.61355,1.08072,0.96209,0.95097,0.97377,0.86273,0.39192,0.44956,0.61796,0.0067,0.0067,0.0067
52,8903.22,0.75217,0.63419,1.08644,0.96258,0.95244,0.97445,0.86522,0.39018,0.38875,0.61526,0.006634,0.006634,0.006634
53,9075.89,0.74482,0.6099,1.08369,0.96338,0.95328,0.97368,0.86305,0.38931,0.49594,0.61645,0.006568,0.006568,0.006568
54,9247.4,0.74862,0.61048,1.08498,0.95432,0.95983,0.97459,0.86595,0.3895,0.51418,0.61569,0.006502,0.006502,0.006502
55,9419.11,0.73842,0.61481,1.07492,0.95507,0.95633,0.97366,0.86338,0.38799,0.52719,0.61688,0.006436,0.006436,0.006436
56,9686.47,0.73184,0.60916,1.07723,0.96523,0.95195,0.97402,0.86512,0.38387,0.50356,0.6162,0.00637,0.00637,0.00637
57,9976.98,0.73004,0.59773,1.07317,0.97152,0.95618,0.97402,0.86356,0.38297,0.47443,0.61441,0.006304,0.006304,0.006304
58,10248.1,0.72605,0.60424,1.07251,0.97042,0.95624,0.97449,0.86375,0.38223,0.45439,0.61488,0.006238,0.006238,0.006238
59,10473.3,0.72994,0.60746,1.07349,0.96962,0.95518,0.97481,0.86542,0.38078,0.46984,0.61424,0.006172,0.006172,0.006172
60,10741.5,0.72516,0.592,1.07598,0.96826,0.95606,0.97513,0.86784,0.38176,0.46983,0.6136,0.006106,0.006106,0.006106
61,10964.1,0.72374,0.59105,1.07186,0.96683,0.95658,0.9751,0.86907,0.3829,0.48275,0.61379,0.00604,0.00604,0.00604
62,11219.1,0.71538,0.58416,1.06552,0.96647,0.95734,0.97545,0.87091,0.38223,0.48027,0.61197,0.005974,0.005974,0.005974
63,11500,0.71534,0.5807,1.06848,0.9709,0.95212,0.97536,0.87015,0.38013,0.49312,0.61081,0.005908,0.005908,0.005908
64,11787.2,0.71174,0.57778,1.06592,0.97168,0.95518,0.97582,0.87291,0.38,0.49058,0.61048,0.005842,0.005842,0.005842
65,12075.4,0.71043,0.57784,1.05892,0.96868,0.95541,0.97577,0.87384,0.37925,0.46345,0.6114,0.005776,0.005776,0.005776
66,12329.8,0.70302,0.5744,1.05766,0.96941,0.95658,0.97578,0.87253,0.37831,0.44225,0.61126,0.00571,0.00571,0.00571
67,12503,0.69144,0.56433,1.05181,0.97039,0.9577,0.97578,0.87293,0.37979,0.43565,0.61114,0.005644,0.005644,0.005644
68,12676.4,0.70067,0.57543,1.05812,0.97148,0.96046,0.9759,0.87262,0.38138,0.44129,0.61119,0.005578,0.005578,0.005578
69,12851.3,0.70407,0.57362,1.05326,0.97025,0.95956,0.97588,0.87164,0.38098,0.44209,0.61148,0.005512,0.005512,0.005512
70,13024.8,0.68553,0.56251,1.0521,0.96994,0.95919,0.97593,0.87198,0.37894,0.45033,0.61029,0.005446,0.005446,0.005446
71,13197.7,0.69911,0.56143,1.05471,0.96833,0.95891,0.97572,0.87283,0.37882,0.47697,0.60967,0.00538,0.00538,0.00538
72,13371.6,0.69274,0.56542,1.05243,0.9657,0.96318,0.97558,0.87232,0.37728,0.46758,0.60829,0.005314,0.005314,0.005314
73,13545.9,0.68136,0.5505,1.04791,0.96549,0.96427,0.97552,0.8727,0.37649,0.45527,0.60753,0.005248,0.005248,0.005248
74,13718.7,0.67946,0.54961,1.04414,0.96876,0.96461,0.97557,0.87175,0.37705,0.44769,0.60712,0.005182,0.005182,0.005182
75,13893.2,0.67497,0.53736,1.04064,0.96957,0.96596,0.97554,0.87189,0.37702,0.45497,0.60707,0.005116,0.005116,0.005116
76,14066.8,0.68017,0.54685,1.04822,0.9696,0.96607,0.97566,0.87271,0.37669,0.4504,0.60646,0.00505,0.00505,0.00505
77,14241.2,0.67443,0.54205,1.04114,0.96857,0.96563,0.97568,0.87344,0.37636,0.43478,0.60606,0.004984,0.004984,0.004984
78,14414.8,0.6763,0.54671,1.04529,0.96854,0.96465,0.97555,0.87438,0.37616,0.41638,0.60632,0.004918,0.004918,0.004918
79,14585.7,0.66477,0.53807,1.03565,0.96854,0.9644,0.97559,0.87414,0.37579,0.40659,0.60636,0.004852,0.004852,0.004852
80,14849.3,0.65995,0.53612,1.03477,0.96832,0.96357,0.97561,0.87498,0.37512,0.38507,0.60627,0.004786,0.004786,0.004786
81,15226,0.65893,0.52768,1.03436,0.96869,0.96316,0.9756,0.875,0.37428,0.3811,0.60589,0.00472,0.00472,0.00472
82,15556,0.66105,0.52836,1.03542,0.96884,0.96288,0.97569,0.87483,0.37442,0.38145,0.60597,0.004654,0.004654,0.004654
83,15866.4,0.64771,0.52123,1.03295,0.97441,0.95424,0.97566,0.87579,0.37387,0.37287,0.60572,0.004588,0.004588,0.004588
84,16167.7,0.64897,0.51606,1.03175,0.97582,0.95392,0.9757,0.87481,0.37352,0.36973,0.60581,0.004522,0.004522,0.004522
85,16462.3,0.64878,0.51872,1.03,0.97636,0.95391,0.97579,0.87558,0.37357,0.36411,0.60615,0.004456,0.004456,0.004456
