epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.388,1.52405,1.52524,1.41262,0.84461,0.7295,0.81635,0.48161,1.23977,2.29806,1.12277,0.0667282,3.32752e-06,3.32752e-06
2,323.115,1.29812,0.99551,1.27487,0.91397,0.859,0.91562,0.63745,0.9877,2.51403,0.98031,0.0333982,6.65426e-06,6.65426e-06
3,472.683,1.18501,0.83367,1.22226,0.92747,0.8975,0.94786,0.68264,0.87772,2.5053,0.93318,6.81478e-05,9.97439e-06,9.97439e-06
4,621.878,1.11432,0.7613,1.18755,0.93669,0.91246,0.95185,0.70313,0.8601,2.79775,0.92131,9.9703e-06,9.9703e-06,9.9703e-06
5,770.438,1.09537,0.72259,1.16813,0.93655,0.92028,0.96174,0.70903,0.79467,2.48684,0.89716,9.9604e-06,9.9604e-06,9.9604e-06
6,919.318,1.07423,0.69197,1.15436,0.93051,0.91556,0.95302,0.71793,0.81789,1.81834,0.90082,9.9505e-06,9.9505e-06,9.9505e-06
7,1067.58,1.0491,0.67429,1.14366,0.93028,0.93273,0.95729,0.72113,0.79797,2.1381,0.89536,9.9406e-06,9.9406e-06,9.9406e-06
8,1215.85,1.02861,0.65665,1.13411,0.94785,0.92143,0.95148,0.73337,0.76969,1.97568,0.89182,9.9307e-06,9.9307e-06,9.9307e-06
9,1364.62,1.01865,0.63461,1.12519,0.94451,0.91917,0.9519,0.72634,0.7813,2.16015,0.88407,9.9208e-06,9.9208e-06,9.9208e-06
10,1512.54,1.00389,0.61886,1.12175,0.94515,0.93469,0.96183,0.74413,0.74953,1.91366,0.87854,9.9109e-06,9.9109e-06,9.9109e-06
11,1661.26,0.98145,0.60953,1.10834,0.93083,0.94027,0.96278,0.73838,0.75637,1.95781,0.87809,9.901e-06,9.901e-06,9.901e-06
12,1810.08,0.97565,0.60218,1.10392,0.94144,0.93121,0.96185,0.73527,0.77603,2.03487,0.87729,9.8911e-06,9.8911e-06,9.8911e-06
13,1958.99,0.96017,0.58929,1.09877,0.95112,0.92293,0.95801,0.74982,0.71236,1.81842,0.8619,9.8812e-06,9.8812e-06,9.8812e-06
14,2107.88,0.96015,0.58327,1.09741,0.94579,0.92704,0.95867,0.72971,0.79093,2.15863,0.89159,9.8713e-06,9.8713e-06,9.8713e-06
15,2256.26,0.9588,0.57992,1.09898,0.95531,0.93726,0.96438,0.75105,0.71804,1.60313,0.87111,9.8614e-06,9.8614e-06,9.8614e-06
16,2405.13,0.94811,0.57278,1.09673,0.95086,0.93215,0.95929,0.75054,0.73882,1.50336,0.86702,9.8515e-06,9.8515e-06,9.8515e-06
17,2553.99,0.93138,0.55946,1.0802,0.95043,0.94272,0.96683,0.75663,0.73406,1.51074,0.86627,9.8416e-06,9.8416e-06,9.8416e-06
18,2702.89,0.91495,0.55942,1.07821,0.93837,0.95092,0.95488,0.74859,0.73184,1.83372,0.87473,9.8317e-06,9.8317e-06,9.8317e-06
19,2851.58,0.9205,0.55131,1.07808,0.94313,0.94979,0.95791,0.75594,0.72199,1.44563,0.86252,9.8218e-06,9.8218e-06,9.8218e-06
20,3000.04,0.90026,0.53935,1.07061,0.94833,0.94474,0.96764,0.76726,0.7194,1.34515,0.86066,9.8119e-06,9.8119e-06,9.8119e-06
21,3149.42,0.90478,0.54498,1.07738,0.9385,0.95082,0.96649,0.76187,0.71633,1.46281,0.86027,9.802e-06,9.802e-06,9.802e-06
22,3297.99,0.89693,0.52518,1.06803,0.9426,0.95021,0.96712,0.76218,0.70397,1.51503,0.86276,9.7921e-06,9.7921e-06,9.7921e-06
23,3447.34,0.89072,0.53124,1.06906,0.95551,0.94912,0.97031,0.7657,0.72613,1.33015,0.86403,9.7822e-06,9.7822e-06,9.7822e-06
24,3596.57,0.87847,0.52649,1.06175,0.95983,0.9322,0.96535,0.76928,0.70243,1.5716,0.85555,9.7723e-06,9.7723e-06,9.7723e-06
25,3745.99,0.8772,0.52448,1.0608,0.95842,0.93748,0.96846,0.76911,0.72644,1.27733,0.87009,9.7624e-06,9.7624e-06,9.7624e-06
26,3894.54,0.87757,0.52412,1.0616,0.95143,0.94802,0.96777,0.76478,0.72948,1.57834,0.86454,9.7525e-06,9.7525e-06,9.7525e-06
27,4043.32,0.87028,0.51981,1.05941,0.96012,0.93508,0.96953,0.76246,0.73014,1.27375,0.86524,9.7426e-06,9.7426e-06,9.7426e-06
28,4192.22,0.86133,0.51014,1.05049,0.942,0.95658,0.96878,0.77991,0.69925,1.23978,0.84922,9.7327e-06,9.7327e-06,9.7327e-06
29,4341.38,0.85069,0.50441,1.0451,0.94038,0.95048,0.96617,0.77149,0.72273,1.26451,0.86204,9.7228e-06,9.7228e-06,9.7228e-06
30,4489.93,0.84855,0.50396,1.04758,0.95936,0.92851,0.96392,0.77233,0.71913,1.25338,0.86189,9.7129e-06,9.7129e-06,9.7129e-06
31,4638.4,0.85732,0.50389,1.04812,0.94939,0.94632,0.97281,0.78224,0.69601,1.42006,0.85159,9.703e-06,9.703e-06,9.703e-06
32,4787.52,0.84137,0.49891,1.04121,0.94564,0.94338,0.96889,0.77689,0.68513,1.55676,0.85384,9.6931e-06,9.6931e-06,9.6931e-06
33,4936.63,0.84571,0.49864,1.04414,0.94644,0.95131,0.96975,0.78355,0.68807,1.12056,0.85016,9.6832e-06,9.6832e-06,9.6832e-06
34,5086.2,0.8372,0.49545,1.0397,0.93653,0.95472,0.96936,0.78009,0.69554,1.26183,0.85477,9.6733e-06,9.6733e-06,9.6733e-06
35,5236.38,0.83775,0.48686,1.03556,0.94009,0.95537,0.96339,0.78263,0.68372,1.19846,0.84893,9.6634e-06,9.6634e-06,9.6634e-06
36,5384.99,0.82326,0.48424,1.03164,0.94015,0.95787,0.96878,0.78584,0.67954,1.47276,0.84688,9.6535e-06,9.6535e-06,9.6535e-06
37,5533.79,0.81673,0.47756,1.03072,0.94941,0.95529,0.97253,0.79189,0.67468,1.30372,0.84202,9.6436e-06,9.6436e-06,9.6436e-06
38,5683.15,0.81534,0.47639,1.03128,0.94836,0.94664,0.96611,0.78838,0.67753,1.27754,0.84515,9.6337e-06,9.6337e-06,9.6337e-06
39,5831.99,0.82025,0.48041,1.03018,0.94971,0.95131,0.97329,0.78434,0.68581,1.28948,0.85278,9.6238e-06,9.6238e-06,9.6238e-06
40,5980.94,0.81575,0.47344,1.02602,0.95333,0.94584,0.9705,0.78862,0.67877,1.5749,0.84903,9.6139e-06,9.6139e-06,9.6139e-06
41,6130.9,0.816,0.47713,1.0265,0.95384,0.9481,0.96789,0.7821,0.70923,1.25676,0.85742,9.604e-06,9.604e-06,9.604e-06
42,6279.13,0.80136,0.4724,1.02467,0.95858,0.95459,0.97007,0.78872,0.69095,1.47722,0.84673,9.5941e-06,9.5941e-06,9.5941e-06
43,6428.33,0.79097,0.46355,1.01569,0.95536,0.95678,0.97407,0.78986,0.68475,1.62055,0.84407,9.5842e-06,9.5842e-06,9.5842e-06
44,6576.69,0.79727,0.46472,1.02005,0.95011,0.96225,0.97518,0.79316,0.68191,1.29801,0.84253,9.5743e-06,9.5743e-06,9.5743e-06
45,6725.65,0.79654,0.46449,1.01729,0.95488,0.9542,0.97526,0.78815,0.69455,1.28101,0.85029,9.5644e-06,9.5644e-06,9.5644e-06
46,6874.34,0.79843,0.46446,1.01908,0.95823,0.94711,0.97662,0.79295,0.67944,1.31527,0.85025,9.5545e-06,9.5545e-06,9.5545e-06
47,7023.53,0.78682,0.4594,1.01355,0.9597,0.93703,0.9698,0.78601,0.68754,1.39825,0.85131,9.5446e-06,9.5446e-06,9.5446e-06
48,7173.17,0.7917,0.45915,1.01415,0.95773,0.94253,0.97138,0.79349,0.68451,1.49482,0.84657,9.5347e-06,9.5347e-06,9.5347e-06
49,7321.41,0.77832,0.46019,1.01213,0.95549,0.94816,0.96999,0.79121,0.68653,1.18779,0.84996,9.5248e-06,9.5248e-06,9.5248e-06
50,7471.23,0.78289,0.45551,1.01225,0.94793,0.95586,0.97193,0.78849,0.70494,1.33664,0.85306,9.5149e-06,9.5149e-06,9.5149e-06
51,7621.39,0.77843,0.4491,1.01136,0.96529,0.94442,0.97537,0.79227,0.69386,1.20165,0.8533,9.505e-06,9.505e-06,9.505e-06
52,7769.99,0.7805,0.45731,1.01366,0.95689,0.95021,0.97624,0.79758,0.68191,1.09312,0.84749,9.4951e-06,9.4951e-06,9.4951e-06
53,7918.75,0.76826,0.44599,1.00447,0.95193,0.95568,0.97554,0.79662,0.67981,1.44563,0.84957,9.4852e-06,9.4852e-06,9.4852e-06
54,8066.81,0.76658,0.44705,1.00861,0.95523,0.94693,0.97385,0.79523,0.67334,1.33245,0.84777,9.4753e-06,9.4753e-06,9.4753e-06
55,8216.59,0.77102,0.4485,1.00656,0.96296,0.943,0.97656,0.79487,0.67707,1.32907,0.84613,9.4654e-06,9.4654e-06,9.4654e-06
56,8365.32,0.76386,0.44225,1.00472,0.95665,0.95396,0.97657,0.79549,0.67975,1.40548,0.84713,9.4555e-06,9.4555e-06,9.4555e-06
57,8513.99,0.76961,0.44946,1.00429,0.94919,0.96026,0.97683,0.79708,0.67877,1.42238,0.84345,9.4456e-06,9.4456e-06,9.4456e-06
58,8663.09,0.76153,0.4426,1.0049,0.95067,0.95349,0.9744,0.79388,0.68057,1.47046,0.84495,9.4357e-06,9.4357e-06,9.4357e-06
59,8812.69,0.7483,0.43946,0.99699,0.95953,0.95661,0.97788,0.79893,0.67046,1.33131,0.84417,9.4258e-06,9.4258e-06,9.4258e-06
60,8961.32,0.75364,0.43361,0.99912,0.961,0.96028,0.98171,0.80446,0.66455,0.97042,0.84056,9.4159e-06,9.4159e-06,9.4159e-06
61,9110.13,0.75209,0.43615,0.99918,0.95886,0.96332,0.98044,0.80095,0.68363,1.09566,0.84578,9.406e-06,9.406e-06,9.406e-06
62,9259.24,0.74683,0.43023,0.99654,0.95394,0.95477,0.97697,0.79712,0.68901,1.06768,0.84876,9.3961e-06,9.3961e-06,9.3961e-06
63,9408.12,0.75146,0.43239,0.99921,0.95488,0.95752,0.97876,0.79687,0.6842,1.11314,0.84482,9.3862e-06,9.3862e-06,9.3862e-06
64,9557.49,0.74566,0.43024,0.99751,0.96324,0.94753,0.97935,0.80067,0.68171,1.05215,0.84628,9.3763e-06,9.3763e-06,9.3763e-06
65,9706.42,0.74166,0.4278,0.99184,0.95992,0.95324,0.98111,0.80317,0.6736,1.04686,0.84428,9.3664e-06,9.3664e-06,9.3664e-06
66,9854.77,0.73744,0.4313,0.99676,0.96188,0.95131,0.98076,0.80133,0.67406,1.00454,0.84536,9.3565e-06,9.3565e-06,9.3565e-06
67,10003,0.74234,0.42774,0.99801,0.96301,0.95459,0.97886,0.80054,0.6779,0.94988,0.84643,9.3466e-06,9.3466e-06,9.3466e-06
68,10151.6,0.74035,0.4252,0.99796,0.95982,0.95568,0.9796,0.79938,0.6786,0.96081,0.8461,9.3367e-06,9.3367e-06,9.3367e-06
69,10300.2,0.72948,0.42435,0.9892,0.9599,0.95439,0.97888,0.80178,0.6731,0.914,0.84318,9.3268e-06,9.3268e-06,9.3268e-06
70,10448.7,0.72973,0.41834,0.98783,0.96208,0.9519,0.97806,0.80356,0.67298,0.88032,0.84296,9.3169e-06,9.3169e-06,9.3169e-06
71,10597.2,0.731,0.4155,0.99409,0.96122,0.95099,0.98056,0.80595,0.67252,0.81324,0.84035,9.307e-06,9.307e-06,9.307e-06
72,10745.5,0.72531,0.41864,0.9863,0.96063,0.95885,0.98168,0.80873,0.6743,0.8066,0.83952,9.2971e-06,9.2971e-06,9.2971e-06
73,10895.2,0.72978,0.41772,0.9916,0.96308,0.95568,0.98277,0.80783,0.67559,0.75381,0.84155,9.2872e-06,9.2872e-06,9.2872e-06
74,11043.1,0.73054,0.41843,0.99317,0.95994,0.95762,0.98127,0.80769,0.67723,0.75622,0.84239,9.2773e-06,9.2773e-06,9.2773e-06
75,11191.5,0.71873,0.41467,0.986,0.96223,0.94987,0.98083,0.80599,0.67291,0.86546,0.84094,9.2674e-06,9.2674e-06,9.2674e-06
76,11341.1,0.71828,0.41259,0.98879,0.95316,0.95676,0.98039,0.8049,0.67133,0.96945,0.84048,9.2575e-06,9.2575e-06,9.2575e-06
77,11489.6,0.71323,0.41265,0.98688,0.9658,0.94802,0.97917,0.80359,0.67314,0.90303,0.84025,9.2476e-06,9.2476e-06,9.2476e-06
78,11637.9,0.71689,0.4134,0.985,0.96453,0.94527,0.97961,0.80475,0.67069,0.95473,0.83985,9.2377e-06,9.2377e-06,9.2377e-06
79,11787.3,0.71197,0.4078,0.98119,0.95895,0.95184,0.97969,0.80509,0.6679,0.92846,0.83966,9.2278e-06,9.2278e-06,9.2278e-06
80,11935.4,0.71264,0.40944,0.98131,0.95815,0.95258,0.98021,0.80569,0.66135,0.82183,0.83783,9.2179e-06,9.2179e-06,9.2179e-06
81,12084,0.71202,0.4116,0.98394,0.95703,0.95766,0.97981,0.80395,0.6629,0.84826,0.83858,9.208e-06,9.208e-06,9.208e-06
82,12232.6,0.70612,0.40301,0.98388,0.9657,0.94972,0.98104,0.80599,0.66453,0.88927,0.83881,9.1981e-06,9.1981e-06,9.1981e-06
83,12382,0.70797,0.41026,0.97899,0.9673,0.9493,0.98087,0.804,0.66315,0.99565,0.8371,9.1882e-06,9.1882e-06,9.1882e-06
84,12530.5,0.7079,0.40913,0.98013,0.95037,0.96334,0.97939,0.80561,0.66131,1.02497,0.83544,9.1783e-06,9.1783e-06,9.1783e-06
85,12678.7,0.70313,0.40633,0.97647,0.95398,0.95586,0.97966,0.80595,0.65899,1.05467,0.83503,9.1684e-06,9.1684e-06,9.1684e-06
86,12827.8,0.69516,0.40649,0.97229,0.95183,0.95793,0.97925,0.80531,0.65827,1.04018,0.83566,9.1585e-06,9.1585e-06,9.1585e-06
87,12977.2,0.69328,0.39749,0.97143,0.95435,0.9597,0.97986,0.80633,0.65413,1.01619,0.83405,9.1486e-06,9.1486e-06,9.1486e-06
88,13126.6,0.69699,0.40322,0.97758,0.95704,0.96218,0.98139,0.80795,0.65566,0.98212,0.83301,9.1387e-06,9.1387e-06,9.1387e-06
89,13275.7,0.70251,0.40219,0.97755,0.96734,0.94916,0.98176,0.80868,0.65439,1.00478,0.83338,9.1288e-06,9.1288e-06,9.1288e-06
90,13425.2,0.68883,0.39773,0.97409,0.9559,0.96553,0.98217,0.80756,0.65625,1.04663,0.83465,9.1189e-06,9.1189e-06,9.1189e-06
91,13574.8,0.69077,0.39593,0.9704,0.95491,0.9634,0.98153,0.80792,0.65652,1.07831,0.83445,9.109e-06,9.109e-06,9.109e-06
92,13724.3,0.69806,0.40049,0.97643,0.95488,0.96506,0.98164,0.80906,0.65701,1.07595,0.83566,9.0991e-06,9.0991e-06,9.0991e-06
93,13873.3,0.69238,0.39812,0.97112,0.9539,0.96448,0.98185,0.80888,0.65698,1.04425,0.83568,9.0892e-06,9.0892e-06,9.0892e-06
94,14022.5,0.68452,0.39676,0.96963,0.95511,0.96399,0.98224,0.81103,0.65511,1.04571,0.83508,9.0793e-06,9.0793e-06,9.0793e-06
95,14171.8,0.68835,0.39993,0.97035,0.9537,0.96334,0.98218,0.81042,0.65349,1.04975,0.83438,9.0694e-06,9.0694e-06,9.0694e-06
96,14320.9,0.69018,0.39841,0.97051,0.95729,0.96006,0.98191,0.80959,0.65246,1.07472,0.83407,9.0595e-06,9.0595e-06,9.0595e-06
97,14469.8,0.68616,0.39756,0.96816,0.9572,0.96006,0.98132,0.80844,0.65187,1.09072,0.83495,9.0496e-06,9.0496e-06,9.0496e-06
98,14618.9,0.67954,0.39266,0.96768,0.95425,0.96213,0.98138,0.80784,0.65039,1.07728,0.83499,9.0397e-06,9.0397e-06,9.0397e-06
99,14768.4,0.68381,0.39627,0.97203,0.95416,0.96334,0.98126,0.81006,0.64787,1.07272,0.83441,9.0298e-06,9.0298e-06,9.0298e-06
100,14917.5,0.67239,0.38813,0.96573,0.95318,0.96282,0.98085,0.80972,0.64875,1.07803,0.83462,9.0199e-06,9.0199e-06,9.0199e-06
101,15067.1,0.67943,0.38717,0.96747,0.95414,0.96003,0.98014,0.80824,0.64737,1.06022,0.83401,9.01e-06,9.01e-06,9.01e-06
102,15215.5,0.67286,0.39057,0.96496,0.95334,0.96064,0.98005,0.80765,0.64707,1.05575,0.8339,9.0001e-06,9.0001e-06,9.0001e-06
103,15364.5,0.67515,0.38965,0.96867,0.9537,0.96232,0.98015,0.80953,0.64769,1.0415,0.83407,8.9902e-06,8.9902e-06,8.9902e-06
104,15513.1,0.67405,0.3896,0.96493,0.95396,0.96063,0.98025,0.80877,0.64686,1.04332,0.83397,8.9803e-06,8.9803e-06,8.9803e-06
105,15662.3,0.66575,0.3875,0.96382,0.95466,0.95994,0.98147,0.81026,0.64689,1.03199,0.83411,8.9704e-06,8.9704e-06,8.9704e-06
106,15810.9,0.66275,0.38385,0.96176,0.95352,0.95896,0.98085,0.81111,0.64702,1.00314,0.83439,8.9605e-06,8.9605e-06,8.9605e-06
107,15960.8,0.66726,0.3853,0.96478,0.95463,0.95982,0.98073,0.81069,0.64763,0.98463,0.83484,8.9506e-06,8.9506e-06,8.9506e-06
