epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.001,1.04188,1.1933,1.13839,0.88458,0.76929,0.86057,0.59232,1.02905,7.28004,1.01119,0.0667559,3.32474e-06,3.32474e-06
2,226.339,0.91182,0.70135,1.05052,0.88287,0.85224,0.90667,0.64817,0.90948,3.93529,0.94816,0.0334259,6.65148e-06,6.65148e-06
3,328.057,0.86827,0.62384,1.03778,0.91928,0.88998,0.94089,0.68754,0.83847,2.24653,0.90945,9.58823e-05,9.97163e-06,9.97163e-06
4,428.669,0.81565,0.576,1.01102,0.93124,0.90497,0.95311,0.71019,0.79705,2.69334,0.89382,9.9703e-06,9.9703e-06,9.9703e-06
5,530.518,0.79335,0.54399,0.99566,0.93125,0.9203,0.95914,0.7356,0.73951,2.77377,0.86609,9.9604e-06,9.9604e-06,9.9604e-06
6,632.782,0.77952,0.51957,0.99062,0.95191,0.92516,0.96321,0.74688,0.7065,2.0694,0.85703,9.9505e-06,9.9505e-06,9.9505e-06
7,735.034,0.76249,0.50938,0.98381,0.9461,0.93247,0.96309,0.75013,0.69824,1.93202,0.84922,9.9406e-06,9.9406e-06,9.9406e-06
8,837.217,0.75682,0.50151,0.98407,0.94925,0.94435,0.96868,0.76534,0.67938,2.06475,0.84173,9.9307e-06,9.9307e-06,9.9307e-06
9,939.661,0.74844,0.48949,0.97726,0.94312,0.93245,0.96663,0.75258,0.71896,1.60981,0.85839,9.9208e-06,9.9208e-06,9.9208e-06
10,1041.64,0.74097,0.4808,0.9729,0.94521,0.95187,0.96816,0.76328,0.68673,1.5657,0.84109,9.9109e-06,9.9109e-06,9.9109e-06
11,1143.92,0.7408,0.48013,0.97613,0.9471,0.95654,0.96994,0.76735,0.67597,1.68279,0.84193,9.901e-06,9.901e-06,9.901e-06
12,1246.88,0.7192,0.46173,0.96128,0.96267,0.95258,0.97402,0.7757,0.66115,1.55625,0.83642,9.8911e-06,9.8911e-06,9.8911e-06
13,1349.41,0.72447,0.46829,0.96389,0.94987,0.94674,0.97242,0.76825,0.66984,1.52922,0.83919,9.8812e-06,9.8812e-06,9.8812e-06
14,1451.69,0.71587,0.45632,0.96113,0.95747,0.96007,0.97526,0.7818,0.66676,1.08376,0.83436,9.8713e-06,9.8713e-06,9.8713e-06
15,1554.14,0.70324,0.44674,0.95604,0.95489,0.95678,0.9791,0.78044,0.67639,1.0184,0.8392,9.8614e-06,9.8614e-06,9.8614e-06
