epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13058.7,0.75782,0.63168,1.08491,0.96254,0.95754,0.97423,0.85039,0.61829,0.37313,0.95905,0.007228,0.007228,0.007228
44,13361,0.76293,0.63837,1.09272,0.96209,0.95373,0.97505,0.85474,0.61683,0.37595,0.95565,0.007162,0.007162,0.007162
45,13664.3,0.7508,0.62236,1.08528,0.9616,0.95721,0.97263,0.85648,0.59683,0.36816,0.94173,0.007096,0.007096,0.007096
46,13967.6,0.74472,0.61571,1.08246,0.96905,0.95693,0.97408,0.85402,0.60895,0.37538,0.95009,0.00703,0.00703,0.00703
47,14270.7,0.74788,0.61323,1.07992,0.96296,0.95471,0.97486,0.85678,0.59167,0.35884,0.93794,0.006964,0.006964,0.006964
48,14573.4,0.74954,0.6269,1.08705,0.96522,0.95467,0.9748,0.86088,0.59398,0.36218,0.94086,0.006898,0.006898,0.006898
49,14876.7,0.74264,0.61553,1.08123,0.96287,0.96003,0.97504,0.85956,0.57901,0.35366,0.93556,0.006832,0.006832,0.006832
50,15180.5,0.73677,0.60836,1.07232,0.95708,0.96771,0.9748,0.85879,0.577,0.3565,0.93209,0.006766,0.006766,0.006766
51,15482.9,0.73541,0.60598,1.07886,0.98039,0.93851,0.97402,0.85353,0.59636,0.35174,0.94873,0.0067,0.0067,0.0067
52,15786.1,0.71913,0.58286,1.06125,0.97276,0.95661,0.97614,0.8648,0.58056,0.34915,0.93208,0.006634,0.006634,0.006634
53,16088.2,0.73229,0.59774,1.07183,0.96827,0.95673,0.97468,0.8576,0.58835,0.35368,0.92795,0.006568,0.006568,0.006568
54,16391.4,0.72143,0.5979,1.06205,0.96867,0.95601,0.97524,0.86598,0.59003,0.34996,0.92811,0.006502,0.006502,0.006502
55,16693.9,0.72204,0.58241,1.0679,0.97214,0.9509,0.97519,0.86089,0.58705,0.34806,0.93125,0.006436,0.006436,0.006436
56,16996.3,0.7268,0.58129,1.06945,0.97867,0.94786,0.97483,0.86042,0.5831,0.35103,0.93165,0.00637,0.00637,0.00637
57,17300.5,0.71255,0.58179,1.06438,0.97419,0.94571,0.97502,0.86313,0.58004,0.34976,0.93206,0.006304,0.006304,0.006304
58,17604.7,0.71954,0.58178,1.06811,0.97075,0.94477,0.97445,0.8693,0.5711,0.34807,0.92324,0.006238,0.006238,0.006238
